Title,Series,Synopsis,URL,Genre,Category,Availability,Duration,Date,Column,Row,Box_Set,Channel,Box_Yes,Box_No,Title_Synopsis,Pid,episodeID,programmeID,seriesID,Is_Live,Is_Live_Yes,Is_Live_No,Actual_Genre
Jamie Johnson: Series 1-6,Series 1-6,NEW SERIES: Time to step up,https://www.bbc.co.uk/iplayer/episodes/b08lvm1b/jamie-johnson?seriesId=m0010zf7,CBBC,Family Favourites,,,31/10/2021,4,2,no,,0,1,Jamie Johnson: Series 1-6 -- NEW SERIES: Time to step up,,,,m0010zf7,no,0,1,
Doctor Who,,All of time and space awaits the Doctor,https://www.bbc.co.uk/iplayer/episodes/b006q2x0/doctor-who?seriesId=b007vvcq,Sci-Fi,Family Favourites,,,31/10/2021,5,2,yes,BBC One,1,0,Doctor Who -- All of time and space awaits the Doctor,b006q2x0,,b006q2x0,b007vvcq,no,0,1,DRAMA > SCIFI & FANTASY
The Next Step,,The real drama happens off the dance floor,https://www.bbc.co.uk/iplayer/episodes/b05qvqn5/the-next-step?seriesId=b040yvz9,CBBC,Family Favourites,,,31/10/2021,6,2,yes,CBBC,1,0,The Next Step -- The real drama happens off the dance floor,b05qvqn5,,b05qvqn5,b040yvz9,no,0,1,CHILDREN'S
Pokémon - Diamond and Pearl: Series 10-12,Series 10-12,NEW SERIES: Catch 'em all!,https://www.bbc.co.uk/iplayer/episodes/p09nfr5d/pokemon-diamond-and-pearl?seriesId=p09wrz0b,CBBC,Family Favourites,,,31/10/2021,7,2,yes,CBBC,1,0,Pokémon - Diamond and Pearl: Series 10-12 -- NEW SERIES: Catch 'em all!,p09nfr5d,,p09nfr5d,p09wrz0b,no,0,1,CHILDREN'S
Horrible Histories: The Movie,The Movie,Big Screen. Total Riot,https://www.bbc.co.uk/iplayer/episode/m0010rgr/horrible-histories-the-movie,CBBC,Family Favourites,Available for 21 days,88 mins,31/10/2021,8,2,no,CBBC,0,1,Horrible Histories: The Movie -- Big Screen. Total Riot,m0010rgr,,m0010rgr,,no,0,1,"COMEDY,CHILDREN'S"
The Gruffalo,,A small mouse tells tall tales... that turn out to be true,https://www.bbc.co.uk/iplayer/episode/b00pk64x/the-gruffalo,,Family Favourites,Available for over a year,27 mins,31/10/2021,9,2,no,BBC One,0,1,The Gruffalo -- A small mouse tells tall tales... that turn out to be true,b00pk64x,,b00pk64x,,no,0,1,CHILDREN'S > DRAMA
Matilda and the Ramsay Bunch: Series 1-5,Series 1-5,Meet the Ramsays!,https://www.bbc.co.uk/iplayer/episodes/b079yyjs/matilda-and-the-ramsay-bunch?seriesId=b05rkx7r,CBBC,Family Favourites,,,31/10/2021,10,2,yes,CBBC,1,0,Matilda and the Ramsay Bunch: Series 1-5 -- Meet the Ramsays!,b079yyjs,,b079yyjs,b05rkx7r,no,0,1,CHILDREN'S
Shaun the Sheep: Series 1-5,Series 1-5,Mischief at Mossy Bottom Farm!,https://www.bbc.co.uk/iplayer/episodes/b006z39g/shaun-the-sheep?seriesId=b006z39t,CBBC,Family Favourites,,,31/10/2021,11,2,yes,CBBC,1,0,Shaun the Sheep: Series 1-5 -- Mischief at Mossy Bottom Farm!,b006z39g,,b006z39g,b006z39t,no,0,1,CHILDREN'S
Pokémon: Diamond and Pearl,Diamond and Pearl,The Rise of Darkrai,https://www.bbc.co.uk/iplayer/episode/p09qh6p4/pokemon-diamond-and-pearl-movies-the-rise-of-darkrai,CBBC,Family Favourites,Available for 9 months,85 mins,31/10/2021,12,2,no,CBBC,0,1,Pokémon: Diamond and Pearl -- The Rise of Darkrai,p09qh6p4,p09qh6p4,p09nfr5d,,no,0,1,CHILDREN'S
Strictly Come Dancing,,Week 6 Results. With haunting music by Gregory Porter,https://www.bbc.co.uk/iplayer/episode/m00116rb/strictly-come-dancing-series-19-week-6-results,Entertainment,Most Popular,Available for over a year,44 mins,31/10/2021,1,3,no,BBC One,0,1,Strictly Come Dancing -- Week 6 Results. With haunting music by Gregory Porter,m00116rb,m00116rb,b006m8dq,,no,0,1,"ENTERTAINMENT,TALENT SHOWS"
The Outlaws,,New episodes every week,https://www.bbc.co.uk/iplayer/episodes/m0010zy5/the-outlaws?seriesId=m0010zy3,Comedy,Most Popular,,,31/10/2021,2,3,yes,BBC One,1,0,The Outlaws -- New episodes every week,m0010zy5,,m0010zy5,m0010zy3,no,0,1,"COMEDY,COMEDY > CHARACTER"
